,변환,실업률(원계열),실업률(계절조정)
0,1999/06,6.7,7.3
1,1999/07,6.7,7.0
2,1999/08,6.2,6.4
3,1999/09,5.2,5.7
4,1999/10,5.0,5.5
5,1999/11,4.8,5.2
6,1999/12,5.2,5.1
7,2000/01,5.7,5.0
8,2000/02,5.7,4.8
9,2000/03,5.1,4.6
10,2000/04,4.5,4.5
11,2000/05,4.1,4.4
12,2000/06,3.9,4.2
13,2000/07,4.0,4.2
14,2000/08,4.1,4.2
15,2000/09,4.0,4.5
16,2000/10,3.7,4.1
17,2000/11,3.9,4.2
18,2000/12,4.4,4.3
19,2001/01,5.1,4.4
20,2001/02,5.5,4.6
21,2001/03,5.1,4.6
22,2001/04,4.1,4.1
23,2001/05,3.7,3.9
24,2001/06,3.6,3.8
25,2001/07,3.6,3.8
26,2001/08,3.6,3.7
27,2001/09,3.3,3.7
28,2001/10,3.3,3.7
29,2001/11,3.4,3.7
30,2001/12,3.7,3.7
31,2002/01,4.1,3.6
32,2002/02,4.1,3.4
33,2002/03,3.8,3.4
34,2002/04,3.4,3.4
35,2002/05,3.1,3.3
36,2002/06,2.9,3.1
37,2002/07,3.0,3.2
38,2002/08,3.2,3.3
39,2002/09,2.7,3.0
40,2002/10,2.8,3.1
41,2002/11,2.9,3.1
42,2002/12,3.1,3.1
43,2003/01,3.7,3.3
44,2003/02,3.8,3.2
45,2003/03,3.7,3.3
46,2003/04,3.5,3.4
47,2003/05,3.4,3.6
48,2003/06,3.4,3.6
49,2003/07,3.6,3.7
50,2003/08,3.5,3.7
51,2003/09,3.3,3.7
52,2003/10,3.4,3.8
53,2003/11,3.5,3.9
54,2003/12,3.8,3.7
55,2004/01,4.0,3.5
56,2004/02,4.1,3.5
57,2004/03,4.0,3.6
58,2004/04,3.7,3.6
59,2004/05,3.5,3.7
60,2004/06,3.4,3.5
61,2004/07,3.6,3.8
62,2004/08,3.6,3.8
63,2004/09,3.3,3.7
64,2004/10,3.4,3.7
65,2004/11,3.5,3.8
66,2004/12,3.8,3.8
67,2005/01,4.3,3.8
68,2005/02,4.3,3.6
69,2005/03,4.1,3.7
70,2005/04,3.8,3.7
71,2005/05,3.6,3.7
72,2005/06,3.6,3.8
73,2005/07,3.7,3.8
74,2005/08,3.6,3.7
75,2005/09,3.6,4.0
76,2005/10,3.6,3.9
77,2005/11,3.3,3.6
78,2005/12,3.5,3.5
79,2006/01,3.8,3.4
80,2006/02,4.1,3.5
81,2006/03,3.9,3.5
82,2006/04,3.5,3.5
83,2006/05,3.2,3.4
84,2006/06,3.4,3.5
85,2006/07,3.4,3.5
86,2006/08,3.4,3.5
87,2006/09,3.2,3.5
88,2006/10,3.3,3.6
89,2006/11,3.2,3.5
90,2006/12,3.3,3.4
91,2007/01,3.6,3.3
92,2007/02,3.7,3.1
93,2007/03,3.5,3.2
94,2007/04,3.4,3.3
95,2007/05,3.2,3.3
96,2007/06,3.2,3.3
97,2007/07,3.3,3.3
98,2007/08,3.1,3.3
99,2007/09,3.0,3.2
100,2007/10,3.0,3.3
101,2007/11,3.0,3.3
102,2007/12,3.1,3.2
103,2008/01,3.3,3.0
104,2008/02,3.5,2.9
105,2008/03,3.4,3.0
106,2008/04,3.2,3.1
107,2008/05,3.1,3.2
108,2008/06,3.1,3.1
109,2008/07,3.1,3.1
110,2008/08,3.1,3.3
111,2008/09,3.0,3.2
112,2008/10,3.0,3.3
113,2008/11,3.0,3.4
114,2008/12,3.3,3.4
115,2009/01,3.6,3.3
116,2009/02,3.9,3.3
117,2009/03,4.0,3.5
118,2009/04,3.8,3.7
119,2009/05,3.8,3.9
120,2009/06,3.8,3.9
121,2009/07,3.7,3.8
122,2009/08,3.7,3.8
123,2009/09,3.3,3.7
124,2009/10,3.2,3.6
125,2009/11,3.3,3.7
126,2009/12,3.5,3.6
127,2010/01,5.0,4.6
128,2010/02,4.8,4.0
129,2010/03,4.1,3.7
130,2010/04,3.7,3.6
131,2010/05,3.2,3.2
132,2010/06,3.5,3.5
133,2010/07,3.7,3.8
134,2010/08,3.3,3.5
135,2010/09,3.4,3.8
136,2010/10,3.3,3.7
137,2010/11,3.0,3.3
138,2010/12,3.5,3.7
139,2011/01,3.8,3.5
140,2011/02,4.5,3.7
141,2011/03,4.3,3.8
142,2011/04,3.7,3.5
143,2011/05,3.2,3.3
144,2011/06,3.3,3.3
145,2011/07,3.3,3.3
146,2011/08,3.0,3.2
147,2011/09,3.0,3.3
148,2011/10,2.9,3.2
149,2011/11,2.9,3.3
150,2011/12,3.0,3.2
151,2012/01,3.5,3.2
152,2012/02,4.2,3.4
153,2012/03,3.7,3.3
154,2012/04,3.5,3.3
155,2012/05,3.1,3.1
156,2012/06,3.2,3.2
157,2012/07,3.1,3.1
158,2012/08,3.0,3.2
159,2012/09,2.9,3.2
160,2012/10,2.8,3.1
161,2012/11,2.8,3.2
162,2012/12,2.9,3.1
163,2013/01,3.4,3.1
164,2013/02,3.9,3.2
165,2013/03,3.5,3.0
166,2013/04,3.2,3.0
167,2013/05,3.0,3.0
168,2013/06,3.1,3.1
169,2013/07,3.1,3.2
170,2013/08,3.0,3.2
171,2013/09,2.7,3.0
172,2013/10,2.7,3.1
173,2013/11,2.6,3.1
174,2013/12,3.0,3.2
175,2014/01,3.4,3.2
176,2014/02,4.5,3.6
177,2014/03,3.9,3.4
178,2014/04,3.8,3.6
179,2014/05,3.5,3.5
180,2014/06,3.5,3.5
181,2014/07,3.4,3.5
182,2014/08,3.3,3.6
183,2014/09,3.1,3.5
184,2014/10,3.2,3.6
185,2014/11,3.0,3.5
186,2014/12,3.3,3.6
187,2015/01,3.7,3.5
188,2015/02,4.5,3.6
189,2015/03,4.0,3.5
190,2015/04,3.9,3.6
191,2015/05,3.7,3.7
192,2015/06,3.8,3.8
193,2015/07,3.6,3.7
194,2015/08,3.4,3.7
195,2015/09,3.2,3.5
196,2015/10,3.1,3.5
197,2015/11,3.0,3.6
198,2015/12,3.2,3.5
199,2016/01,3.7,3.4
200,2016/02,4.9,3.9
201,2016/03,4.2,3.8
202,2016/04,3.9,3.6
203,2016/05,3.6,3.6
204,2016/06,3.6,3.5
205,2016/07,3.5,3.6
206,2016/08,3.6,4.0
207,2016/09,3.5,3.9
208,2016/10,3.3,3.8
209,2016/11,3.1,3.6
210,2016/12,3.2,3.4
211,2017/01,3.7,3.4
212,2017/02,4.9,4.0
213,2017/03,4.1,3.7
214,2017/04,4.2,3.8
215,2017/05,3.6,3.5
216,2017/06,3.8,3.7
217,2017/07,3.4,3.5
218,2017/08,3.6,4.0
219,2017/09,3.3,3.7
220,2017/10,3.2,3.7
221,2017/11,3.1,3.7
222,2017/12,3.3,3.5
223,2018/01,3.7,3.4
224,2018/02,4.6,3.8
225,2018/03,4.5,4.0
226,2018/04,4.1,3.8
227,2018/05,4.0,3.8
228,2018/06,3.7,3.6
229,2018/07,3.7,3.8
230,2018/08,4.0,4.6
231,2018/09,3.6,4.1
232,2018/10,3.5,4.0
233,2018/11,3.2,3.8
234,2018/12,3.4,3.6
235,2019/01,4.5,3.9
236,2019/02,4.7,3.9
237,2019/03,4.3,3.8
238,2019/04,4.4,4.1
239,2019/05,4.0,3.9
240,2019/06,4.0,3.9
241,2019/07,3.9,3.9
242,2019/08,3.0,3.6
243,2019/09,3.1,3.5
244,2019/10,3.0,3.5
245,2019/11,3.1,3.6
246,2019/12,3.4,3.5
247,2020/01,4.1,3.6
248,2020/02,4.1,3.4
249,2020/03,4.2,3.9
250,2020/04,4.2,3.9
251,2020/05,4.5,4.4
252,2020/06,4.3,4.2
253,2020/07,4.0,4.1
254,2020/08,3.1,3.7
255,2020/09,3.6,4.1
256,2020/10,3.7,4.2
257,2020/11,3.4,4.1
258,2020/12,4.1,4.2
259,2021/01,5.7,4.8
260,2021/02,4.9,4.1
261,2021/03,4.3,3.9
262,2021/04,4.0,3.8
263,2021/05,4.0,3.8
264,2021/06,3.8,3.7
265,2021/07,3.2,3.3
266,2021/08,2.6,3.2
267,2021/09,2.7,3.0
268,2021/10,2.8,3.2
269,2021/11,2.6,3.1
270,2021/12,3.5,3.4
271,2022/01,4.1,3.4
272,2022/02,3.4,2.8
273,2022/03,3.0,2.8
274,2022/04,3.0,2.8
275,2022/05,3.0,2.9
276,2022/06,3.0,2.9
277,2022/07,2.9,2.9
278,2022/08,2.1,2.6
279,2022/09,2.4,2.8
280,2022/10,2.4,2.8
281,2022/11,2.3,2.7
282,2022/12,3.0,3.0
283,2023/01,3.6,2.9
284,2023/02,3.1,2.6
285,2023/03,2.9,2.7
286,2023/04,2.8,2.6
287,2023/05,2.7,2.6
288,2023/06,2.7,2.6
289,2023/07,2.7,2.8
290,2023/08,2.0,2.5
291,2023/09,2.3,2.6
292,2023/10,2.1,2.5
293,2023/11,2.3,2.8
294,2023/12,3.3,3.2
295,2024/01,3.7,3.0
296,2024/02,3.2,2.6
297,2024/03,3.0,2.8
298,2024/04,3.0,2.8
299,2024/05,3.0,2.8
300,2024/06,2.9,2.8
301,2024/07,2.5,2.5
302,2024/08,1.9,2.4
303,2024/09,2.1,2.5
